station,mu_upper
7,100
11,100
18,100
22,100
23,100
25,100
26,100
30,100
36,100
38,100
39,100
41,100
46,100
51,100
52,100
64,100
65,100
66,100
67,100
68,100
70,100
72,100
76,100
78,100
80,100
81,100
82,100
84,100
85,100
92,100
98,100
100,100
102,100
109,100
110,100
111,100
122,100
123,100
124,100
125,100
128,100
131,100
132,100
135,100
136,100
137,100
138,100
142,100
143,100
144,100
145,300
146,100
147,100
148,100
149,100
150,100
151,100
152,100
155,100
158,100
168,100
173,100
175,300
178,100
180,100
188,300
189,100
191,100
193,100
194,100
196,100
201,200
205,100
206,100
208,100
209,100
210,100
